https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,,D’Hoop,,,D’Hoop
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,,Degrox fils,,,De Grox fils
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,J.B. ,Louvois,,J.B. ,Louvois
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,S. ,Mommaert,,S. ,Mommaert
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,,Notjens,,,Notjens
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,M. ,Reijnaerts,,M. ,Reijnaerts
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,,Richter,,,Richter
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,J. ,Trenner,,J. ,Trenner
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,,Van Eeck fils,,,Van Eeck fils
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,,Van Eeck pere,,,Van Eeck pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-01-30,,Willbert,,,Wittebort
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-06,,Dachij,,,Dachij
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-06,M. ,Dijon pere,,Dejon pere,Dejon pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-06,J. ,Schoetens,,J. ,Schoetens
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-06,,Van Eeck pere,,,Van Eeck pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-06,,Van Kampen,,,Van Kampen
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-18,,Degreef,,,Degreef
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-18,,Dehou,,,Dehou
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-18,,Demade,,,Demade
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-18,,Hautfenne,,J.,Hautfenne
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-18,,Richter,,,Richter
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-18,F. ,Simon,,Francois,Simon
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-02-18,,Van Volcxem,,Jean Francois ,Van Volcxem
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-03-18,Laurent ,Burger,,Laurent ,Burger
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-03-18,,Cruls,,A.G. ,Cruls
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-03-18,,De Grox fils,,,De Grox fils
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-03-18,,Lemaire,,,Lemaire
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-03-18,J. ,Schoetens,,J. ,Schoetens
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-03-18,,Thijs,,,Thijs
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-03-18,,Verreijcken,,,Verreijcken
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Becker,,J. ,Becker
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Dachij,censeur,,Dachij
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Louvois,,,Louvois
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Louvois,,,Louvois
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Marlier,,P.J. ,Marlier
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Marlier,,P.J. ,Marlier
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Smets,secretaire,,Smets
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Timmermans,,J.J. ,Timmermans
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Timmermans,,J.J. ,Timmermans
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Van Meerbeek,medecin,,Van Meerbeeck
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Van Volcxem,,Jean Francois ,Van Volcxem
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-04-16,,Vanderauweren,,J. ,Vanderauweren
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-05-29,,Becker,,J. ,Becker
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-05-29,,De Nijs cadet,,,De Nijs cadet
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-05-29,,Lemaire,,,Lemaire
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-05-29,,Leonard,,J. ,Leonard
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-05-29,,Notjens,,,Notjens
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-05-29,Jean Francois ,Van Volcxem,'+ 1820-05-12,Jean Francois ,Van Volcxem
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-06-01,,Becker,,J. ,Becker
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-06-01,,Canni,,J.B.,Canni
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-06-01,,Lemaire,,,Lemaire
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-06-01,,Louvois,,,Louvois
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-06-01,,Verkercken,,,Verkercken
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-08,,Louvois,,,Louvois
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-08,,Strijckwants,,,Strijckwant
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-08,,Van Meerbeeck,medecin,,Van Meerbeeck
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,Francois ,De Grox,,Francois ,De Grox
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,,De Grox pere,,,De Grox pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,,Kannengiessers,,P. ,Kannengiessers
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,,Lemaire,,,Lemaire
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,,Leonard,,J. ,Leonard
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,,Van Keerberghen,,,Van Keerberghen
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,,Van Meerbeeck,medecin,,Van Meerbeeck
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-08-17,Guillaume ,Van Soust,,Guillaume ,Van Soust
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-09-21,G. ,De Maeck,,G. ,De Maeck
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-09-21,,Peeters,,,Peeters
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-09-21,,Plugers,,L. ,Plugers
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-09-21,J.A. ,Slingeneyer,,J.A. ,Slingeneyer
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-09-21,,Smets,,,Smets
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-09-21,,Verreijcken,,,Verreijcken
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Bomelet,,,Bomelet
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Ferra,,,Ferra
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Hallez,,,Hallez
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Hautfenne,,J.,Hautfenne
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Pregoire,,,Pregoire
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Smets,,,Smets
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Sprenger,,,Sprenger
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-16,,Van Eeck pere,,,Van Eeck pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-26,Joseph ,Danhaive,,Joseph ,Danhaive
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-10-26,,Voordekkers,,J. ,Voordekkers
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-09,Joseph ,Danhaive,,Joseph ,Danhaive
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-09,,Ferra,,,Ferra
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-09,,Louvois,,,Louvois
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-09,,Marlier,,P.J. ,Marlier
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-09,,Voordekkers,,J. ,Voordekkers
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,Dachij,,,Dachij
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,Dachij,,,Dachij
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,Danhaive,,Joseph ,Danhaive
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,De Ruyter,> 50 jaar,,De Ruyter
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,Dezon,,Dejon pere,Dejon pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,Ducaju,,,Ducaju
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,Strijckwants,,,Strijckwant
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,T’Servrankx,,,T’Servrankx
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-11-27,,Van Eeck pere,,,Van Eeck pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-07,,Danheve,,Joseph ,Danhaive
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-07,,Du Caju,,,Ducaju
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-07,,Strijckwant,,,Strijckwant
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-07,,T’Servrankx,,,T’Servrankx
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-07,,Van Eeck pere,,,Van Eeck pere
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-07,,Verreijcken,,,Verreijcken
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Görller,,J. ,Görller
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Notjens,,,Notjens
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Peeters,,,Peeters
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,J.B. ,Preherbu,,J.B. ,Preherbu
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Richter,,,Richter
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,Francois ,Rom,,Francois ,Rom
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Schuers,,Philippe ,Schruers
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,Jean Baptiste ,Simon,,Jean Baptiste ,Simon
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Slingeneyer,,,Slingeneyer
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Strijckwant,,,Strijckwant
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Van Kalcken,,,Van Kalcken
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-18,,Vilvalle,,,Vilvalle
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Görller,,J. ,Görller
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Notjens,,,Notjens
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Peeters,,,Peeters
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Preherbu,,J.B. ,Preherbu
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Richter,,,Richter
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,Francois,Rom,,Francois ,Rom
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,Philippe ,Schuers,,Philippe ,Schruers
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,Jean Baptiste ,Simon,,Jean Baptiste ,Simon
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Slingenyer,,,Slingeneyer
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Strijckwant,,,Strijckwant
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Van Kalcken,,,Van Kalcken
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-21,,Vilvalle,,,Vilvalle
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-26,,Hublou,tresorier,F.,Hublou
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-26,,Mago,inspecteur,J.J. ,Mago
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-26,,Puraije,directeur,J.N.J. ,Puraije
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-26,,Smets,secretaire,,Smets
https://www.zotero.org/groups/2707622/items/LZRI8F3G,1820-12-26,,Timmermans,censeur,J.J. ,Timmermans
